combination,train_accuracy,test_accuracy,colsample_bytree,learning_rate,max_depth,n_estimators,alpha
1291,0.91,0.78,0.9,0.1,9,400,10
1296,0.91,0.78,0.9,0.1,9,500,10
996,0.90,0.78,0.7,0.1,9,500,10
991,0.90,0.78,0.7,0.1,9,400,10
1286,0.90,0.78,0.9,0.1,9,300,10
696,0.90,0.77,0.5,0.1,9,500,10
986,0.89,0.78,0.7,0.1,9,300,10
691,0.89,0.77,0.5,0.1,9,400,10
686,0.88,0.78,0.5,0.1,9,300,10
396,0.88,0.78,0.3,0.1,9,500,10
1281,0.87,0.78,0.9,0.1,9,200,10
971,0.87,0.78,0.7,0.1,7,500,10
1271,0.87,0.78,0.9,0.1,7,500,10
1266,0.87,0.78,0.9,0.1,7,400,10
966,0.87,0.78,0.7,0.1,7,400,10
671,0.87,0.78,0.5,0.1,7,500,10
391,0.87,0.78,0.3,0.1,9,400,10
981,0.87,0.78,0.7,0.1,9,200,10
1261,0.86,0.78,0.9,0.1,7,300,10
666,0.86,0.78,0.5,0.1,7,400,10
961,0.86,0.78,0.7,0.1,7,300,10
681,0.85,0.78,0.5,0.1,9,200,10
371,0.85,0.78,0.3,0.1,7,500,10
386,0.85,0.78,0.3,0.1,9,300,10
661,0.85,0.78,0.5,0.1,7,300,10
1256,0.84,0.78,0.9,0.1,7,200,10
366,0.84,0.78,0.3,0.1,7,400,10
1246,0.84,0.78,0.9,0.1,5,500,10
956,0.84,0.78,0.7,0.1,7,200,10
946,0.84,0.78,0.7,0.1,5,500,10
1276,0.83,0.78,0.9,0.1,9,100,10
1241,0.83,0.78,0.9,0.1,5,400,10
381,0.83,0.77,0.3,0.1,9,200,10
646,0.83,0.78,0.5,0.1,5,500,10
361,0.83,0.78,0.3,0.1,7,300,10
976,0.83,0.78,0.7,0.1,9,100,10
656,0.83,0.78,0.5,0.1,7,200,10
1287,0.83,0.78,0.9,0.1,9,300,20
1292,0.83,0.78,0.9,0.1,9,400,20
1297,0.83,0.78,0.9,0.1,9,500,20
941,0.83,0.78,0.7,0.1,5,400,10
992,0.83,0.78,0.7,0.1,9,400,20
997,0.83,0.78,0.7,0.1,9,500,20
697,0.83,0.78,0.5,0.1,9,500,20
987,0.83,0.78,0.7,0.1,9,300,20
692,0.83,0.78,0.5,0.1,9,400,20
641,0.83,0.78,0.5,0.1,5,400,10
1282,0.82,0.78,0.9,0.1,9,200,20
687,0.82,0.78,0.5,0.1,9,300,20
1236,0.82,0.78,0.9,0.1,5,300,10
676,0.82,0.78,0.5,0.1,9,100,10
346,0.82,0.78,0.3,0.1,5,500,10
982,0.82,0.78,0.7,0.1,9,200,20
397,0.82,0.78,0.3,0.1,9,500,20
936,0.82,0.78,0.7,0.1,5,300,10
1262,0.82,0.78,0.9,0.1,7,300,20
1267,0.82,0.78,0.9,0.1,7,400,20
1272,0.82,0.78,0.9,0.1,7,500,20
392,0.82,0.78,0.3,0.1,9,400,20
682,0.82,0.78,0.5,0.1,9,200,20
672,0.82,0.78,0.5,0.1,7,500,20
967,0.82,0.78,0.7,0.1,7,400,20
972,0.82,0.78,0.7,0.1,7,500,20
667,0.82,0.78,0.5,0.1,7,400,20
356,0.82,0.78,0.3,0.1,7,200,10
636,0.82,0.78,0.5,0.1,5,300,10
962,0.82,0.78,0.7,0.1,7,300,20
1251,0.82,0.78,0.9,0.1,7,100,10
341,0.82,0.78,0.3,0.1,5,400,10
662,0.82,0.78,0.5,0.1,7,300,20
1257,0.81,0.78,0.9,0.1,7,200,20
372,0.81,0.78,0.3,0.1,7,500,20
387,0.81,0.78,0.3,0.1,9,300,20
1231,0.81,0.78,0.9,0.1,5,200,10
957,0.81,0.78,0.7,0.1,7,200,20
1396,0.81,0.78,0.9,0.01,9,500,10
367,0.81,0.78,0.3,0.1,7,400,20
1277,0.81,0.78,0.9,0.1,9,100,20
1288,0.81,0.78,0.9,0.1,9,300,30
1293,0.81,0.78,0.9,0.1,9,400,30
1298,0.81,0.78,0.9,0.1,9,500,30
993,0.81,0.78,0.7,0.1,9,400,30
998,0.81,0.78,0.7,0.1,9,500,30
951,0.81,0.78,0.7,0.1,7,100,10
1096,0.81,0.78,0.7,0.01,9,500,10
988,0.81,0.78,0.7,0.1,9,300,30
1283,0.81,0.78,0.9,0.1,9,200,30
657,0.81,0.78,0.5,0.1,7,200,20
336,0.81,0.78,0.3,0.1,5,300,10
931,0.81,0.78,0.7,0.1,5,200,10
693,0.81,0.78,0.5,0.1,9,400,30
698,0.81,0.78,0.5,0.1,9,500,30
1391,0.81,0.78,0.9,0.01,9,400,10
977,0.81,0.78,0.7,0.1,9,100,20
362,0.81,0.78,0.3,0.1,7,300,20
983,0.81,0.78,0.7,0.1,9,200,30
651,0.81,0.78,0.5,0.1,7,100,10
376,0.81,0.77,0.3,0.1,9,100,10
688,0.81,0.78,0.5,0.1,9,300,30
96,0.81,0.77,0.1,0.1,9,500,10
1091,0.81,0.77,0.7,0.01,9,400,10
1242,0.81,0.78,0.9,0.1,5,400,20
1247,0.81,0.78,0.9,0.1,5,500,20
382,0.81,0.77,0.3,0.1,9,200,20
647,0.81,0.78,0.5,0.1,5,500,20
631,0.81,0.78,0.5,0.1,5,200,10
398,0.81,0.78,0.3,0.1,9,500,30
1268,0.81,0.78,0.9,0.1,7,400,30
1273,0.81,0.78,0.9,0.1,7,500,30
942,0.81,0.78,0.7,0.1,5,400,20
947,0.81,0.78,0.7,0.1,5,500,20
1237,0.81,0.78,0.9,0.1,5,300,20
1263,0.80,0.78,0.9,0.1,7,300,30
968,0.80,0.78,0.7,0.1,7,400,30
973,0.80,0.78,0.7,0.1,7,500,30
642,0.80,0.78,0.5,0.1,5,400,20
347,0.80,0.78,0.3,0.1,5,500,20
683,0.80,0.78,0.5,0.1,9,200,30
673,0.80,0.78,0.5,0.1,7,500,30
1289,0.80,0.78,0.9,0.1,9,300,40
1294,0.80,0.78,0.9,0.1,9,400,40
1299,0.80,0.78,0.9,0.1,9,500,40
668,0.80,0.78,0.5,0.1,7,400,30
963,0.80,0.78,0.7,0.1,7,300,30
796,0.80,0.77,0.5,0.01,9,500,10
937,0.80,0.78,0.7,0.1,5,300,20
1386,0.80,0.77,0.9,0.01,9,300,10
994,0.80,0.78,0.7,0.1,9,400,40
999,0.80,0.78,0.7,0.1,9,500,40
393,0.80,0.78,0.3,0.1,9,400,30
1258,0.80,0.78,0.9,0.1,7,200,30
1252,0.80,0.78,0.9,0.1,7,100,20
663,0.80,0.78,0.5,0.1,7,300,30
989,0.80,0.78,0.7,0.1,9,300,40
677,0.80,0.78,0.5,0.1,9,100,20
1284,0.80,0.78,0.9,0.1,9,200,40
71,0.80,0.77,0.1,0.1,7,500,10
1278,0.80,0.78,0.9,0.1,9,100,30
958,0.80,0.78,0.7,0.1,7,200,30
637,0.80,0.78,0.5,0.1,5,300,20
342,0.80,0.78,0.3,0.1,5,400,20
388,0.80,0.77,0.3,0.1,9,300,30
373,0.80,0.78,0.3,0.1,7,500,30
699,0.80,0.78,0.5,0.1,9,500,40
1232,0.80,0.78,0.9,0.1,5,200,20
1086,0.80,0.77,0.7,0.01,9,300,10
694,0.80,0.78,0.5,0.1,9,400,40
1221,0.80,0.78,0.9,0.1,3,500,10
921,0.80,0.78,0.7,0.1,3,500,10
357,0.80,0.78,0.3,0.1,7,200,20
984,0.80,0.78,0.7,0.1,9,200,40
658,0.80,0.78,0.5,0.1,7,200,30
952,0.80,0.78,0.7,0.1,7,100,20
331,0.80,0.78,0.3,0.1,5,200,10
1269,0.80,0.78,0.9,0.1,7,400,40
1274,0.80,0.78,0.9,0.1,7,500,40
689,0.80,0.78,0.5,0.1,9,300,40
1264,0.80,0.78,0.9,0.1,7,300,40
368,0.80,0.78,0.3,0.1,7,400,30
932,0.80,0.78,0.7,0.1,5,200,20
978,0.80,0.78,0.7,0.1,9,100,30
1397,0.80,0.78,0.9,0.01,9,500,20
1381,0.80,0.77,0.9,0.01,9,200,10
1290,0.80,0.78,0.9,0.1,9,300,50
1295,0.80,0.78,0.9,0.1,9,400,50
1300,0.80,0.78,0.9,0.1,9,500,50
91,0.80,0.77,0.1,0.1,9,400,10
351,0.80,0.76,0.3,0.1,7,100,10
969,0.80,0.78,0.7,0.1,7,400,40
974,0.80,0.78,0.7,0.1,7,500,40
684,0.80,0.78,0.5,0.1,9,200,40
1371,0.80,0.78,0.9,0.01,7,500,10
964,0.80,0.78,0.7,0.1,7,300,40
995,0.80,0.78,0.7,0.1,9,400,50
1000,0.80,0.78,0.7,0.1,9,500,50
337,0.80,0.78,0.3,0.1,5,300,20
791,0.80,0.77,0.5,0.01,9,400,10
669,0.80,0.78,0.5,0.1,7,400,40
674,0.80,0.78,0.5,0.1,7,500,40
621,0.80,0.78,0.5,0.1,3,500,10
363,0.80,0.78,0.3,0.1,7,300,30
990,0.80,0.78,0.7,0.1,9,300,50
632,0.80,0.78,0.5,0.1,5,200,20
1259,0.80,0.78,0.9,0.1,7,200,40
695,0.80,0.78,0.5,0.1,9,400,50
700,0.80,0.78,0.5,0.1,9,500,50
1279,0.80,0.78,0.9,0.1,9,100,40
1243,0.80,0.78,0.9,0.1,5,400,30
1248,0.80,0.78,0.9,0.1,5,500,30
1238,0.80,0.78,0.9,0.1,5,300,30
1285,0.80,0.78,0.9,0.1,9,200,50
664,0.80,0.78,0.5,0.1,7,300,40
916,0.80,0.78,0.7,0.1,3,400,10
399,0.80,0.78,0.3,0.1,9,500,40
1071,0.80,0.77,0.7,0.01,7,500,10
1253,0.80,0.78,0.9,0.1,7,100,30
985,0.80,0.78,0.7,0.1,9,200,50
959,0.80,0.78,0.7,0.1,7,200,40
1216,0.80,0.78,0.9,0.1,3,400,10
643,0.80,0.78,0.5,0.1,5,400,30
648,0.80,0.78,0.5,0.1,5,500,30
383,0.80,0.77,0.3,0.1,9,200,30
1081,0.80,0.77,0.7,0.01,9,200,10
943,0.80,0.78,0.7,0.1,5,400,30
948,0.80,0.78,0.7,0.1,5,500,30
1392,0.80,0.77,0.9,0.01,9,400,20
938,0.80,0.78,0.7,0.1,5,300,30
690,0.80,0.78,0.5,0.1,9,300,50
1097,0.80,0.77,0.7,0.01,9,500,20
1366,0.80,0.77,0.9,0.01,7,400,10
652,0.80,0.78,0.5,0.1,7,100,20
321,0.80,0.78,0.3,0.1,3,500,10
1226,0.80,0.78,0.9,0.1,5,100,10
394,0.80,0.78,0.3,0.1,9,400,40
348,0.80,0.78,0.3,0.1,5,500,30
678,0.80,0.77,0.5,0.1,9,100,30
374,0.80,0.78,0.3,0.1,7,500,40
659,0.80,0.78,0.5,0.1,7,200,40
926,0.80,0.78,0.7,0.1,5,100,10
953,0.80,0.78,0.7,0.1,7,100,30
66,0.80,0.77,0.1,0.1,7,400,10
638,0.80,0.78,0.5,0.1,5,300,30
46,0.80,0.77,0.1,0.1,5,500,10
979,0.80,0.78,0.7,0.1,9,100,40
1233,0.80,0.78,0.9,0.1,5,200,30
616,0.80,0.78,0.5,0.1,3,400,10
1265,0.80,0.78,0.9,0.1,7,300,50
1270,0.80,0.78,0.9,0.1,7,400,50
1275,0.80,0.78,0.9,0.1,7,500,50
389,0.79,0.77,0.3,0.1,9,300,40
